"","V1"
"1",1.21870361800376
"2",1.16698948582165
"3",1.24499349692293
"4",1.17850931247674
"5",1.17439754841069
"6",1.18404262105552
"7",1.27819593574675
"8",1.25252095041123
"9",1.23655317042903
"10",1.22645864294601
"11",1.20715866041563
"12",1.19055144898941
"13",1.26628054520773
"14",1.26180698046324
"15",1.1944307527637
"16",1.19486506004639
"17",1.21198895548254
"18",1.23658809771128
"19",1.20187845809279
"20",1.20786570088777
"21",1.20132128951842
"22",1.22457987017813
"23",1.24842350863899
"24",1.17087587036674
"25",1.20451619836769
"26",1.22317618323068
"27",1.21280480728787
"28",1.24286047650608
"29",1.23379993417966
"30",1.19695947569044
"31",1.26698679013609
"32",1.23688296935765
"33",1.25662481038398
"34",1.21911706033591
"35",1.20001184186238
"36",1.18983992403822
"37",1.2521826314499
"38",1.19990136588091
"39",1.19345842671976
"40",1.19361581973798
"41",1.24152861506699
"42",1.22048396169843
"43",1.22734086773827
"44",1.23282867845524
"45",1.16968013061108
"46",1.19393046409312
"47",1.17970563741039
"48",1.23948346613751
"49",1.18668849971846
"50",1.21154618709239
"51",1.20014977363591
"52",1.22108894435925
"53",1.26132576855855
"54",1.22200149832216
"55",1.24515435964872
"56",1.23712445959955
"57",1.20261053568243
"58",1.19700322977785
"59",1.19966509918246
"60",1.22989720930977
"61",1.22478624862912
"62",1.18549956202485
"63",1.19068810837745
"64",1.28028976008336
"65",1.1803962363556
"66",1.1785903911158
"67",1.17150463618309
"68",1.22119192931424
"69",1.203904898149
"70",1.25356570488594
"71",1.22931830024038
"72",1.24137285874406
"73",1.15986360265947
"74",1.19099111345386
"75",1.25726063693914
"76",1.19665642763536
"77",1.16975246289028
"78",1.2313360166893
"79",1.24468997510799
"80",1.27262922044972
"81",1.20292817695738
"82",1.19759396412859
"83",1.21751094015061
"84",1.16498870570964
"85",1.25243521424762
"86",1.24446924651873
"87",1.185707894559
"88",1.20539397703878
"89",1.27417718584424
"90",1.18776401168106
"91",1.21687815482437
"92",1.31593327474552
"93",1.23190539645977
"94",1.18310533302306
"95",1.14498982313228
"96",1.14032591509107
"97",1.18924763820191
"98",1.28628107223922
"99",1.27001067697654
"100",1.14205966452569
"101",1.27354397403183
"102",1.14757211403721
"103",1.19793314116128
"104",1.19051193235318
"105",1.19153297964816
"106",1.15264326549909
"107",1.24688743117866
"108",1.26374645469885
"109",1.23250917694366
"110",1.21996007293957
"111",1.2093024589017
"112",1.32323611823685
"113",1.2032080130038
"114",1.21698148504861
"115",1.17812313449912
"116",1.23446430928389
"117",1.22071306682412
"118",1.21235705404432
